"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"RT @Jason_Sheff: The Lib Dems launch the #LibDemManifesto, you know, that thing they'll completely abandon if they get a chance to shack up…"|FALSE|0|NA|2017-05-17 17:07:50|FALSE|NA|"864890214539513857"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"WarmongerHodges"|22|TRUE|FALSE|NA|NA
"RT @TotallyTopical2: Everything you need to know about the @LibDems manifesto #LibDemManifesto #GE2017 https://t.co/kL0Y1ZrJUh"|FALSE|0|NA|2017-05-17 17:07:48|FALSE|NA|"864890207249850372"|NA|"<a href=\"http://www.tweetcaster.com\" rel=\"nofollow\">TweetCaster for Android</a>"|"manwithamop"|3|TRUE|FALSE|NA|NA
"RT @thinkRCG: UK #GE2017 #LibDemManifesto: Pledge to expand #renewables; generate 60% of  electricity from renewables by 2030. https://t.co…"|FALSE|0|NA|2017-05-17 17:07:46|FALSE|NA|"864890197644890113"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"sebchivers"|2|TRUE|FALSE|NA|NA
"RT @overheadthump: Had a gander at the #LibDemManifesto ....... Had to clear up a puddle of piss due to to much laughing"|FALSE|0|NA|2017-05-17 17:07:43|FALSE|NA|"864890183224877057"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"ForeverHonest61"|1|TRUE|FALSE|NA|NA
"Lib Dems definitely trying to attract young voters with that promise to legalise cannabis <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #LibDemManifesto"|FALSE|2|NA|2017-05-17 17:07:36|FALSE|NA|"864890154724585474"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"tanaiyadaniel"|0|FALSE|FALSE|NA|NA
"RT @UKDemockery: Beware Yellow Tories #LibDemManifesto https://t.co/iSVjqW5yQm"|FALSE|0|NA|2017-05-17 17:07:32|FALSE|NA|"864890139704786945"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"WarmongerHodges"|84|TRUE|FALSE|NA|NA
"RT @TotallyTopical2: Everything you need to know about the @LibDems manifesto #LibDemManifesto #GE2017 https://t.co/kL0Y1ZrJUh"|FALSE|0|NA|2017-05-17 17:07:27|FALSE|NA|"864890117420404736"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"VoteRemainWatch"|3|TRUE|FALSE|NA|NA
"RT @UKDemockery: Liars &amp; Tory Austerity Enablers - Never Forget! #LibDemManifesto https://t.co/6h5MryuAW1"|FALSE|0|NA|2017-05-17 17:07:26|FALSE|NA|"864890113335099392"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"WarmongerHodges"|118|TRUE|FALSE|NA|NA
"RT @LNethsingha: Delighted with commitment to early years ed for poorer children in #LibDemManifesto. Crucial that such children make a goo…"|FALSE|0|NA|2017-05-17 17:07:24|FALSE|NA|"864890103767986176"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"mhpitt"|7|TRUE|FALSE|NA|NA
"RT @YuanPotts: The problem for the Lib Dems is their Brexit strategy fishes in a pool of 22%  of electorate not 48%.  Great @FT chart.  #Li…"|FALSE|0|NA|2017-05-17 17:07:23|FALSE|NA|"864890102052466688"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"JonesAlhjones"|4|TRUE|FALSE|NA|NA
"RT @LibTard87: Education: 1) Reverse all frontline school &amp; college cuts 2) Reinstate maintenance grants 3) End cap on teachers' pay rises<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>…"|FALSE|0|NA|2017-05-17 17:07:20|FALSE|NA|"864890086617436160"|NA|"<a href=\"http://www.twitter.com\" rel=\"nofollow\">Twitter for Windows Phone</a>"|"ElliH53"|17|TRUE|FALSE|NA|NA
"happy manifesto day! #LibDemManifesto #GE2017"|FALSE|1|NA|2017-05-17 17:07:18|FALSE|NA|"864890079277350913"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"AFSCJ"|0|FALSE|FALSE|NA|NA
"RT @UKDemockery: Only Fools &amp; Folly #LibDemManifesto https://t.co/YFqXNPBsyk"|FALSE|0|NA|2017-05-17 17:07:13|FALSE|NA|"864890056905043972"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"tm014d1009"|60|TRUE|FALSE|NA|NA
"RT @damo56: I've created a new party logo...do I win £10? #LibDemManifesto https://t.co/d2JnuPKdFn"|FALSE|0|NA|2017-05-17 17:07:07|FALSE|NA|"864890032812896256"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"ForeverHonest61"|41|TRUE|FALSE|NA|NA
"RT @damo56: I've created a new party logo...do I win £10? #LibDemManifesto https://t.co/d2JnuPKdFn"|FALSE|0|NA|2017-05-17 17:07:03|FALSE|NA|"864890016450977793"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"txmelessandy13"|41|TRUE|FALSE|NA|NA
