"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"RT @JaneyGodley: . @NicolaSturgeon watches him say \"I WAS AT THE MOON LANDINGS\" #paulnuttall it's here #LeadersDebate #janeygodleyvoiceover…"|FALSE|0|NA|2017-05-20 00:36:25|FALSE|NA|"865727880612855808"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"ScottElderfiel1"|151|TRUE|FALSE|NA|NA
"RT @JaneyGodley: . @NicolaSturgeon watches him say \"I WAS AT THE MOON LANDINGS\" #paulnuttall it's here #LeadersDebate #janeygodleyvoiceover…"|FALSE|0|NA|2017-05-20 00:30:40|FALSE|NA|"865726434173759488"|NA|"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>"|"Lesleygsmith3"|151|TRUE|FALSE|NA|NA
"RT @GlouthGraham: #ITVDebate #LeadersDebate post manifesto poll. Who will you vote for in #ge2017. Please retweet for larger sample."|FALSE|0|NA|2017-05-20 00:24:02|FALSE|NA|"865724761002827776"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"LeipzigSyd"|880|TRUE|FALSE|NA|NA
"RT @AlanRoden: Watching tonight's #LeadersDebate in England? Don't be fooled by Nicola Sturgeon. Here's the reality of the SNP in power - T…"|FALSE|0|NA|2017-05-20 00:15:19|FALSE|NA|"865722570309611520"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"ukcraft1"|76|TRUE|FALSE|NA|NA
"RT @Trump_ton: @paulnuttallukip is drawing attention to the fact that not only are Jeremy and Theresa not there - Natalie is a no-show too…"|FALSE|0|NA|2017-05-20 00:14:50|FALSE|NA|"865722447680737280"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"tigerrector"|2|TRUE|FALSE|NA|NA
"RT @GlouthGraham: #ITVDebate #LeadersDebate post manifesto poll. Who will you vote for in #ge2017. Please retweet for larger sample."|FALSE|0|NA|2017-05-20 00:14:45|FALSE|NA|"865722427896213528"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"kitschfinder"|880|TRUE|FALSE|NA|NA
"RT @natalieben: . @CarolineLucas says what many in #Sheffield say: \"I want my children to have same freedoms I had\": #LeadersDebate https:/…"|FALSE|0|NA|2017-05-20 00:14:14|FALSE|NA|"865722294748008449"|NA|"<a href=\"https://twitter.com/Talk_Sheffield\" rel=\"nofollow\">Talk_Sheffield</a>"|"Talk_Sheffield"|30|TRUE|FALSE|NA|NA
"RT @JamesMelville: Nicola Sturgeon is the most able politician in UK. Theresa May knows this. That's why she ducked the #LeadersDebate toni…"|FALSE|0|NA|2017-05-20 00:07:34|FALSE|NA|"865720617131180033"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"JohnStanners"|760|TRUE|FALSE|NA|NA
"RT @JaneyGodley: . @NicolaSturgeon watches him say \"I WAS AT THE MOON LANDINGS\" #paulnuttall it's here #LeadersDebate #janeygodleyvoiceover…"|FALSE|0|NA|2017-05-20 00:05:01|FALSE|NA|"865719976120004608"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"c4rolms"|151|TRUE|FALSE|NA|NA
"RT @davidtorrance: Oh, and the FM just had a pop at the Tories for wanting to cut Corporation Tax; clearly it was okay when the SNP propose…"|FALSE|0|NA|2017-05-20 00:04:05|FALSE|NA|"865719743076081665"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"Roselady64"|132|TRUE|FALSE|NA|NA
